id,uniprot_id,gtdb_id,db_proka_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,length,source
A0A0Q0RYC2,A0A0Q0RYC2,,,Archaea,,,,,,,Acidiplasma cupricumulans,233.0,UniProt
A0A117KLI3,A0A117KLI3,,,Archaea,,,,,,,Archaeoglobus fulgidus,207.0,UniProt
A0A7J3M086,A0A7J3M086,,,Archaea,,,,,,,Archaeoglobus fulgidus,155.0,UniProt
A0A075WFM8,A0A075WFM8,,,Archaea,,,,,,,Archaeoglobus fulgidus DSM 8774,308.0,UniProt
A0A284VIX2,A0A284VIX2,,,Archaea,,,,,,,Candidatus Methanoperedens nitroreducens,199.0,UniProt
A0A1R4A9B7,A0A1R4A9B7,,,Archaea,,,,,,,Cuniculiplasma divulgatum,229.0,UniProt
A0A7K4FLI4,A0A7K4FLI4,,,Archaea,,,,,,,Ferroplasma acidiphilum,215.0,UniProt
T0NDA5,T0NDA5,,,Archaea,,,,,,,Ferroplasma sp. Type II,229.0,UniProt
A0A7C3YPM0,A0A7C3YPM0,,,Archaea,,,,,,,Geoglobus ahangari,50.0,UniProt
A0A161XFS4,A0A161XFS4,,,Archaea,,,,,,,Haladaptatus sp. R4,232.0,UniProt
A0A841HCK3,A0A841HCK3,,,Archaea,,,,,,,Halobacterium salinarum (Halobacterium halobium),242.0,UniProt
A0A841HDW6,A0A841HDW6,,,Archaea,,,,,,,Halobacterium salinarum (Halobacterium halobium),253.0,UniProt
B0R494,B0R494,,,Archaea,,,,,,,Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),254.0,UniProt
A0A4D6GVY6,A0A4D6GVY6,,,Archaea,,,,,,,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),242.0,UniProt
A0A4D6GZZ5,A0A4D6GZZ5,,,Archaea,,,,,,,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),296.0,UniProt
A0A510N5R3,A0A510N5R3,,,Archaea,,,,,,,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),254.0,UniProt
Q9HHM0,Q9HHM0,,,Archaea,,,,,,,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),253.0,UniProt
P83716,P83716,,,Archaea,,,,,,,Halobacterium sp. (strain AS7092),283.0,UniProt
A0A895AV76,A0A895AV76,,,Archaea,,,,,,,Halobacterium sp. BOL4-2,264.0,UniProt
A0A895AGW4,A0A895AGW4,,,Archaea,,,,,,,Halobacterium sp. GSL-19,298.0,UniProt
A0A895AJV8,A0A895AJV8,,,Archaea,,,,,,,Halobacterium sp. GSL-19,296.0,UniProt
M0N127,M0N127,,,Archaea,,,,,,,Halococcus salifodinae DSM 8989,168.0,UniProt
A0A3A5JHE5,A0A3A5JHE5,,,Archaea,,,,,,,Halococcus sp. IIIV-5B,322.0,UniProt
A0A3A5JJX3,A0A3A5JJX3,,,Archaea,,,,,,,Halococcus sp. IIIV-5B,271.0,UniProt
A0A6C0UTI0,A0A6C0UTI0,,,Archaea,,,,,,,Haloferax alexandrinus,306.0,UniProt
M0HYN6,M0HYN6,,,Archaea,,,,,,,Haloferax alexandrinus JCM 10717,306.0,UniProt
A0A0K1IUZ8,A0A0K1IUZ8,,,Archaea,,,,,,,Haloferax gibbonsii,306.0,UniProt
M0H5W0,M0H5W0,,,Archaea,,,,,,,Haloferax gibbonsii (strain ATCC 33959 / DSM 4427 / JCM 8863 / NBRC 102184 / NCIMB 2188 / Ma 2.38),306.0,UniProt
A0A1H7T849,A0A1H7T849,,,Archaea,,,,,,,Haloferax larsenii,310.0,UniProt
M0H930,M0H930,,,Archaea,,,,,,,Haloferax larsenii JCM 13917,296.0,UniProt
M0GM17,M0GM17,,,Archaea,,,,,,,Haloferax lucentense (strain DSM 14919 / JCM 9276 / NCIMB 13854 / Aa 2.2) (Haloferax alicantei),306.0,UniProt
A0A842PTS4,A0A842PTS4,,,Archaea,,,,,,,Haloferax sp. AS1,306.0,UniProt
M0GN70,M0GN70,,,Archaea,,,,,,,Haloferax sp. ATCC BAA-644,306.0,UniProt
M0FJY7,M0FJY7,,,Archaea,,,,,,,Haloferax sp. ATCC BAA-645,306.0,UniProt
M0FGL7,M0FGL7,,,Archaea,,,,,,,Haloferax sp. ATCC BAA-646,306.0,UniProt
A0A498EAK4,A0A498EAK4,,,Archaea,,,,,,,Haloferax sp. Atlit-105R,306.0,UniProt
A0A498DZ70,A0A498DZ70,,,Archaea,,,,,,,Haloferax sp. Atlit-109R,306.0,UniProt
A0A371LSZ9,A0A371LSZ9,,,Archaea,,,,,,,Haloferax sp. Atlit-10N,171.0,UniProt
A0A371KIN0,A0A371KIN0,,,Archaea,,,,,,,Haloferax sp. Atlit-24N,306.0,UniProt
A0A371KPK0,A0A371KPK0,,,Archaea,,,,,,,Haloferax sp. Atlit-47N,306.0,UniProt
A0A371K9U1,A0A371K9U1,,,Archaea,,,,,,,Haloferax sp. Atlit-48N,306.0,UniProt
A0A371LX49,A0A371LX49,,,Archaea,,,,,,,Haloferax sp. Atlit-4N,306.0,UniProt
L5NYT2,L5NYT2,,,Archaea,,,,,,,Haloferax sp. BAB-2207,306.0,UniProt
A0A558GC35,A0A558GC35,,,Archaea,,,,,,,Haloferax volcanii (Halobacterium volcanii),306.0,UniProt
A0A384L8J8,A0A384L8J8,,,Archaea,,,,,,,Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii),305.0,UniProt
D4GQY8,D4GQY8,,,Archaea,,,,,,,Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii),305.0,UniProt
A0A482T740,A0A482T740,,,Archaea,,,,,,,Halogeometricum borinquense,70.0,UniProt
A0A6G2FUG1,A0A6G2FUG1,,,Archaea,,,,,,,Halogeometricum sp. CBA1124,296.0,UniProt
A0A4D6KBW0,A0A4D6KBW0,,,Archaea,,,,,,,Halomicrobium mukohataei,316.0,UniProt
A0A847UEQ4,A0A847UEQ4,,,Archaea,,,,,,,Halomicrobium mukohataei,169.0,UniProt
C7P188,C7P188,,,Archaea,,,,,,,Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei),254.0,UniProt
A0A5Q0UL39,A0A5Q0UL39,,,Archaea,,,,,,,Halomicrobium sp. LC1Hm,237.0,UniProt
A0A5P8LW38,A0A5P8LW38,,,Archaea,,,,,,,Halomicrobium sp. ZPS1,316.0,UniProt
A0A8J8GIP9,A0A8J8GIP9,,,Archaea,,,,,,,Haloterrigena gelatinilytica,248.0,UniProt
A0A8T8DWK0,A0A8T8DWK0,,,Archaea,,,,,,,Haloterrigena salifodinae,315.0,UniProt
A0A8T8E6W5,A0A8T8E6W5,,,Archaea,,,,,,,Haloterrigena salifodinae,248.0,UniProt
A0A1W6ALD9,A0A1W6ALD9,,,Archaea,,,,,,,Haloterrigena salina,275.0,UniProt
M0CHN6,M0CHN6,,,Archaea,,,,,,,Haloterrigena salina JCM 13891,277.0,UniProt
M0CHT2,M0CHT2,,,Archaea,,,,,,,Haloterrigena salina JCM 13891,248.0,UniProt
A0A1W6ALD3,A0A1W6ALD3,,,Archaea,,,,,,,Haloterrigena turkmenica,283.0,UniProt
A0A9E5D9C8,A0A9E5D9C8,,,Archaea,,,,,,,Methanococcoides seepicolus,235.0,UniProt
A0A6C0VKD2,A0A6C0VKD2,,,Archaea,,,,,,,Methanosarcina mazei (Methanosarcina frisia),184.0,UniProt
A0A482Y060,A0A482Y060,,,Archaea,,,,,,,Natrinema altunense,152.0,UniProt
A0A482Y2L7,A0A482Y2L7,,,Archaea,,,,,,,Natrinema altunense,301.0,UniProt
L9ZDM4,L9ZDM4,,,Archaea,,,,,,,Natrinema altunense (strain JCM 12890 / CGMCC 1.3731 / AJ2),248.0,UniProt
A0A1W6ALD1,A0A1W6ALD1,,,Archaea,,,,,,,Natrinema ejinorense,283.0,UniProt
L9Z1R6,L9Z1R6,,,Archaea,,,,,,,Natrinema gari JCM 14663,133.0,UniProt
A0A1W6ALE0,A0A1W6ALE0,,,Archaea,,,,,,,Natrinema hispanicum,217.0,UniProt
A0A1W6ALE1,A0A1W6ALE1,,,Archaea,,,,,,,Natrinema pallidum,217.0,UniProt
A0A4P9TFS7,A0A4P9TFS7,,,Archaea,,,,,,,Natrinema pallidum,298.0,UniProt
A0A4P9TIX4,A0A4P9TIX4,,,Archaea,,,,,,,Natrinema pallidum,133.0,UniProt
L0JLR2,L0JLR2,,,Archaea,,,,,,,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),298.0,UniProt
L9Y9U7,L9Y9U7,,,Archaea,,,,,,,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),286.0,UniProt
A0A1W6ALC4,A0A1W6ALC4,,,Archaea,,,,,,,Natrinema salaciae,283.0,UniProt
I7BHG2,I7BHG2,,,Archaea,,,,,,,Natrinema sp. (strain J7-2),133.0,UniProt
A0A0K0KFP1,A0A0K0KFP1,,,Archaea,,,,,,,Natrinema sp. SI14,283.0,UniProt
A0A0K0KFY8,A0A0K0KFY8,,,Archaea,,,,,,,Natrinema sp. SI4,283.0,UniProt
A0A0K0KG39,A0A0K0KG39,,,Archaea,,,,,,,Natrinema sp. SSI3,283.0,UniProt
A0A0K0KFQ3,A0A0K0KFQ3,,,Archaea,,,,,,,Natrinema sp. SSI9,275.0,UniProt
A0A0K0KFP9,A0A0K0KFP9,,,Archaea,,,,,,,Natrinema sp. SWI15,283.0,UniProt
A0A0K0KGM5,A0A0K0KGM5,,,Archaea,,,,,,,Natrinema sp. SWI6,283.0,UniProt
A0A1W6ALB1,A0A1W6ALB1,,,Archaea,,,,,,,Natrinema thermotolerans,283.0,UniProt
A0A1W6ALE4,A0A1W6ALE4,,,Archaea,,,,,,,Natrinema thermotolerans,283.0,UniProt
A0AAF0T0E6,A0AAF0T0E6,,,Archaea,,,,,,,Natrinema thermotolerans,170.0,UniProt
A0A1W6ALE2,A0A1W6ALE2,,,Archaea,,,,,,,Natrinema versiforme,217.0,UniProt
A0A3G8DRD6,A0A3G8DRD6,,,Archaea,,,,,,,Saccharolobus solfataricus (Sulfolobus solfataricus),87.0,UniProt
A0A8J8EMF9,A0A8J8EMF9,,,Archaea,,,,,,,Thermococcus sp. GR4,326.0,UniProt
A0A8J8JIG8,A0A8J8JIG8,,,Archaea,,,,,,,Thermococcus sp. GR5,326.0,UniProt
A0A8J8DYP0,A0A8J8DYP0,,,Archaea,,,,,,,Thermococcus sp. GR6,323.0,UniProt
A0A8J8DY53,A0A8J8DY53,,,Archaea,,,,,,,Thermococcus sp. GR7,326.0,UniProt
A0AAE4NU05,A0AAE4NU05,,,Archaea,,,,,,,Thermococcus waiotapuensis,329.0,UniProt
Q978B7,Q978B7,,,Archaea,,,,,,,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),233.0,UniProt
T0MSV0,T0MSV0,,,Archaea,,,,,,,Thermoplasmatales archaeon I-plasma,215.0,UniProt
U1PME0,U1PME0,,,Archaea,,,,,,,halophilic archaeon J07HB67,346.0,UniProt
U1N0A7,U1N0A7,,,Archaea,,,,,,,halophilic archaeon J07HX5,90.0,UniProt
A0A8G1J0K7,A0A8G1J0K7,NZ_JAJFAX010000001.1_346,WP_228090750.1@GCF_019710475.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Glycomyces,Glycomyces sp019710475,Glycomyces sp. TRM65418,246.0,DB prokaryotes (GTDB 214 subset)
JALFAQ010000035.1_29,,JALFAQ010000035.1_29,,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum A,,206.0,Wider GTDB 214
NZ_CP068159.1_483,,NZ_CP068159.1_483,,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium riegelii,,254.0,Wider GTDB 214
CALUAK010000087.1_2,,CALUAK010000087.1_2,,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp943914015,,122.0,Wider GTDB 214
A0A2A8V226,A0A2A8V226,NZ_NTUP01000066.1_457,,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae B,Rossellomorea,Rossellomorea sp002561455,Bacillus sp. AFS015802,257.0,Wider GTDB 214
R9C692,R9C692,NZ_JABBPK010000001.1_711,WP_016202224.1@GCF_012933555.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Niallia,Niallia alba,Niallia alba,142.0,DB prokaryotes (GTDB 214 subset)
A0A0U2Z4M8,A0A0U2Z4M8,NZ_CP013659.2_504,,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus rifietoensis,Planococcus rifietoensis,261.0,Wider GTDB 214
NZ_JAAMTH010000001.1_3313,,NZ_JAAMTH010000001.1_3313,,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp018283455,,257.0,Wider GTDB 214
NZ_JAAMTH010000001.1_858,,NZ_JAAMTH010000001.1_858,,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp018283455,,261.0,Wider GTDB 214
NZ_BORP01000008.1_88,,NZ_BORP01000008.1_88,,Bacteria,Bacillota,Bacilli,Bacillales D,Amphibacillaceae,Paucisalibacillus,Paucisalibacillus bavariensis,,125.0,Wider GTDB 214
A0A0B0D932,A0A0B0D932,NZ_JRNX01000089.1_3,,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp000786645,Halobacillus sp. BBL2006,198.0,Wider GTDB 214
L5NAY5,L5NAY5,NZ_CP048117.1_3818,WP_008634360.1@GCF_000469135.2,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp001592845,Bacillus sp. SB49,262.0,DB prokaryotes (GTDB 214 subset)
NZ_JAIEZV010000002.1_369,,NZ_JAIEZV010000002.1_369,,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp019599545,,259.0,Wider GTDB 214
WP_082233103.1@GCF_900166625.1,,NZ_LT800499.1_1151,WP_082233103.1@GCF_900166625.1,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus A,Halobacillus A massiliensis,Halobacillus massiliensis,261.0,DB prokaryotes (GTDB 214 subset)
A0A1G8NNL8,A0A1G8NNL8,NZ_KZ614149.1_2911,WP_091587091.1@GCF_002886255.1,Bacteria,Bacillota,Bacilli,Bacillales H,Marinococcaceae,Alteribacillus,Alteribacillus bidgolensis,Alteribacillus bidgolensis,265.0,DB prokaryotes (GTDB 214 subset)
A0A2W0H8Y2,A0A2W0H8Y2,NZ_PDOF01000001.1_643,WP_110516892.1@GCF_003226345.1,Bacteria,Bacillota,Bacilli,Bacillales H,Salisediminibacteriaceae,Alteribacter,Alteribacter lacisalsi,Bacillus lacisalsi,262.0,DB prokaryotes (GTDB 214 subset)
WP_212922126.1@GCF_018333235.1,,,WP_212922126.1@GCF_018333235.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Paucisalibacillus,Paucisalibacillus bavariensis,Ornithinibacillus bavariensis,124.0,DB prokaryotes (GTDB 214 subset)
WP_149453579.1@GCF_900538055.1,,,WP_149453579.1@GCF_900538055.1,Bacteria,Bacillota,Bacilli,RES148,Pasteuriaceae,Pasteuria,Pasteuria penetrans,Pasteuria penetrans,313.0,DB prokaryotes (GTDB 214 subset)
A0A2K4FEA0,A0A2K4FEA0,NZ_PPPX01000001.1_513,,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus argensis,Staphylococcus argensis,244.0,Wider GTDB 214
WP_103159623.1@GCF_002901945.1,,NZ_PPQK01000076.1_1,WP_103159623.1@GCF_002901945.1,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus chromogenes,Staphylococcus chromogenes,244.0,DB prokaryotes (GTDB 214 subset)
A0A447YVF0,A0A447YVF0,NZ_LR134263.1_321,,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus delphini,,121.0,Wider GTDB 214
A0A0H2VGU6,A0A0H2VGU6,NZ_AP019721.1_929,WP_002456424.1@GCF_006742205.1,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,Staphylococcus epidermidis,244.0,DB prokaryotes (GTDB 214 subset)
A0A380FY09,A0A380FY09,NZ_PPQH01000083.1_2,,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus intermedius,Staphylococcus intermedius NCTC 11048,227.0,Wider GTDB 214
CALTXP010000111.1_2,,CALTXP010000111.1_2,,Bacteria,Bacillota A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp943913325,Staphylococcus epidermidis,244.0,DB prokaryotes (GTDB 214 subset)
A0A972G812,A0A972G812,WYDT01000002.1_38,NOK57773.1@GCA_013122435.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,AL-N1,AL-N1 sp013122435,Chloroflexi bacterium AL-N1,117.0,DB prokaryotes (GTDB 214 subset)
I4EKE5,I4EKE5,NZ_CAGS01000398.1_7,WP_008479858.1@GCF_000297255.1,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Nitrolancea,Nitrolancea hollandica,Nitrolancea hollandica Lb,292.0,DB prokaryotes (GTDB 214 subset)
WP_008479876.1@GCF_000297255.1,,,WP_008479876.1@GCF_000297255.1,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Nitrolancea,Nitrolancea hollandica,Nitrolancea hollandica Lb,1438.0,DB prokaryotes (GTDB 214 subset)
WP_238538535.1@GCF_000297255.1,,NZ_CAGS01000398.1_8,WP_238538535.1@GCF_000297255.1,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Nitrolancea,Nitrolancea hollandica,Nitrolancea hollandica Lb,181.0,DB prokaryotes (GTDB 214 subset)
NZ_CAGS01000400.1_2,,NZ_CAGS01000400.1_2,,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Nitrolancea,Nitrolancea hollandica,,1457.0,Wider GTDB 214
MCK4529253.1@GCA_023131835.1,,,MCK4529253.1@GCA_023131835.1,Bacteria,WOR-3,UBA3072,UBA3072,UBA3072,JAGLZA01,JAGLZA01 sp023131835,candidate division WOR-3 bacterium,279.0,DB prokaryotes (GTDB 214 subset)
JAGLZA010000417.1_6,,JAGLZA010000417.1_6,,Bacteria,WOR-3,UBA3072,UBA3072,UBA3072,JAGLZA01,JAGLZA01 sp023131835,,250.0,Wider GTDB 214
A0A7C1F7V1,A0A7C1F7V1,,,Bacteria,,,,,,,Ammonifex degensii,162.0,UniProt
A0A7Z2T0I4,A0A7Z2T0I4,,,Bacteria,,,,,,,Bacillus sp. SB49,144.0,UniProt
A0A7G7CSN9,A0A7G7CSN9,,,Bacteria,,,,,,,Corynebacterium incognita,57.0,UniProt
A0A2W5SWS7,A0A2W5SWS7,,,Bacteria,,,,,,,Corynebacterium kroppenstedtii,52.0,UniProt
A0A0K1RC71,A0A0K1RC71,,,Bacteria,,,,,,,Corynebacterium riegelii,255.0,UniProt
A0A233V7Q7,A0A233V7Q7,,,Bacteria,,,,,,,Finegoldia magna (Peptostreptococcus magnus),234.0,UniProt
A0A233VLU4,A0A233VLU4,,,Bacteria,,,,,,,Finegoldia magna (Peptostreptococcus magnus),234.0,UniProt
A0A929TID4,A0A929TID4,,,Bacteria,,,,,,,Lachnospiraceae bacterium,235.0,UniProt
A0A7Y0K5F6,A0A7Y0K5F6,,,Bacteria,,,,,,,Niallia alba,142.0,UniProt
I4EKE7,I4EKE7,,,Bacteria,,,,,,,Nitrolancea hollandica Lb,177.0,UniProt
I4EKF2,I4EKF2,,,Bacteria,,,,,,,Nitrolancea hollandica Lb,1438.0,UniProt
I4EMP9,I4EMP9,,,Bacteria,,,,,,,Nitrolancea hollandica Lb,91.0,UniProt
A0A919XDK8,A0A919XDK8,,,Bacteria,,,,,,,Ornithinibacillus bavariensis,119.0,UniProt
A0A345NIG9,A0A345NIG9,,,Bacteria,,,,,,,Ornithinimicrobium avium,194.0,UniProt
A0A2A4HF10,A0A2A4HF10,,,Bacteria,,,,,,,Staphylococcus delphini,121.0,UniProt
A0A509LRT7,A0A509LRT7,,,Bacteria,,,,,,,Staphylococcus epidermidis,244.0,UniProt
A0A8I0W9I0,A0A8I0W9I0,,,Bacteria,,,,,,,Staphylococcus epidermidis,244.0,UniProt
Q5HNA8,Q5HNA8,,,Bacteria,,,,,,,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),244.0,UniProt
A0A1Z3U3W1,A0A1Z3U3W1,,,Bacteria,,,,,,,Staphylococcus pettenkoferi,244.0,UniProt
A0A1E9A322,A0A1E9A322,,,Bacteria,,,,,,,Staphylococcus sp. HMSC071G07,244.0,UniProt
A0A9Q5P106,A0A9Q5P106,,,Bacteria,,,,,,,Staphylococcus sp. HMSC073E10,244.0,UniProt
