Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Taxonomic lineage
L9ZDM4,unreviewed,L9ZDM4_NATA2,Halocin C8,C485_14015,Natrinema altunense (strain JCM 12890 / CGMCC 1.3731 / AJ2),248.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema altunense (species)"
M0CHN6,unreviewed,M0CHN6_9EURY,Halocin C8,C477_03309,Haloterrigena salina JCM 13891,277.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus), Haloterrigena salina (species)"
M0FGL7,unreviewed,M0FGL7_9EURY,Halocin C8 (TBD),C460_08010,Haloferax sp. ATCC BAA-646,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
M0GN70,unreviewed,M0GN70_9EURY,Halocin C8 (TBD),C458_01470,Haloferax sp. ATCC BAA-644,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
M0N127,unreviewed,M0N127_9EURY,Halocin C8 (TBD),C450_12300,Halococcus salifodinae DSM 8989,168.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halococcaceae (family), Halococcus (genus), Halococcus salifodinae (species)"
A0A0E3NKG2,unreviewed,A0A0E3NKG2_9EURY,Uncharacterized protein,MSWHS_1356,Methanosarcina sp. WWM596,267.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanosarcina (genus), unclassified Methanosarcina (no rank)"
A0A0H2VGU6,unreviewed,A0A0H2VGU6_STAES,Uncharacterized protein,SE_1469,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), Staphylococcus epidermidis (species)"
A0A0K1RC71,unreviewed,A0A0K1RC71_9CORY,Uncharacterized protein,AK829_07500,Corynebacterium riegelii,255.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)"
A0A0Q0RYC2,unreviewed,A0A0Q0RYC2_9ARCH,Saposin B-type domain-containing protein,AOG55_07600,Acidiplasma cupricumulans,233.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Ferroplasmaceae (family), Acidiplasma (genus)"
A0A117KLI3,unreviewed,A0A117KLI3_ARCFL,Uncharacterized protein,XD40_2000,Archaeoglobus fulgidus,207.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus)"
A0A1W6ALC4,unreviewed,A0A1W6ALC4_9EURY,Halocin C8,halC8,Natrinema salaciae,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A2K4FEA0,unreviewed,A0A2K4FEA0_9STAP,Uncharacterized protein,CD039_02525,Staphylococcus argensis,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus)"
A0A371LSZ9,unreviewed,A0A371LSZ9_9EURY,Halocin C8 (TBD),C5B91_21250,Haloferax sp. Atlit-10N,171.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A384L8J8,unreviewed,A0A384L8J8_HALVD,Halocin C8 (TBD),C498_10196,Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii),305.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)"
A0A3G8DRD6,unreviewed,A0A3G8DRD6_SACSO,Saposin B-type domain-containing protein,HFC64_05870 SULA_03895 SULB_03905 SULC_03885 SULG_14460 SULH_14460 SULI_14460 SULM_14390 SULN_14380 SULO_14400 SULZ_14480,Saccharolobus solfataricus (Sulfolobus solfataricus),87.0,"cellular organisms (no rank), Archaea (superkingdom), TACK group (clade), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Saccharolobus (genus)"
A0A482T740,unreviewed,A0A482T740_9EURY,Uncharacterized protein,ELS19_17000,Halogeometricum borinquense,70.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Halogeometricum (genus)"
A0A482Y060,unreviewed,A0A482Y060_9EURY,Halocin C8,ELS17_05510,Natrinema altunense,152.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A4D6GZZ5,unreviewed,A0A4D6GZZ5_HALS9,Halocin C8-like bacteriocin domain-containing protein (Putative halocin),APQ99_02475 HBSAL_12585,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species)"
A0A510N5R3,unreviewed,A0A510N5R3_HALSA,Probable halocin (Homolog to halocin C8),VNG_0835a,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),254.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species), Halobacterium salinarum NRC-34001 (strain)"
A0A5P8LW38,unreviewed,A0A5P8LW38_9EURY,Halocin C8-like bacteriocin domain-containing protein,GBQ70_07990,Halomicrobium sp. ZPS1,316.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus), unclassified Halomicrobium (no rank)"
A0A6G3ZMD2,unreviewed,A0A6G3ZMD2_9EURY,Uncharacterized protein,FXF75_15850,Halorussus sp. MSC15.2,212.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haladaptataceae (family), Halorussus (genus), unclassified Halorussus (no rank)"
A0A7C1F7V1,unreviewed,A0A7C1F7V1_9THEO,Uncharacterized protein,ENQ35_02545,Ammonifex degensii,162.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Clostridia (class), Thermoanaerobacterales (order), Thermoanaerobacteraceae (family), Ammonifex (genus)"
A0A7Z7FCV1,unreviewed,A0A7Z7FCV1_9EURY,Halocin C8-like bacteriocin domain-containing protein,SAMN04488589_1755,Methanolobus vulcani,276.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanolobus (genus)"
A0A895AJV8,unreviewed,A0A895AJV8_9EURY,Halocin C8-like bacteriocin domain-containing protein,JT689_00760,Halobacterium sp. GSL-19,296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), unclassified Halobacterium (no rank)"
A0A8J8GIP9,unreviewed,A0A8J8GIP9_9EURY,Halocin C8,HT576_03470,Haloterrigena gelatinilytica,248.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus)"
A0A8J8JIG8,unreviewed,A0A8J8JIG8_9EURY,Uncharacterized protein,E3E33_00785,Thermococcus sp. GR5,326.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus), unclassified Thermococcus (no rank)"
A0A929TID4,unreviewed,A0A929TID4_9FIRM,TPM domain-containing protein,HXK82_07360 HXK88_10435,Lachnospiraceae bacterium,235.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), unclassified Lachnospiraceae (no rank)"
I4EKF2,unreviewed,I4EKF2_9BACT,DUF6531 domain-containing protein,NITHO_4590003,Nitrolancea hollandica Lb,1438.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Thermomicrobiota (phylum), Thermomicrobia (class), Sphaerobacterales (order), Sphaerobacterineae (suborder), Sphaerobacteraceae (family), Nitrolancea (genus), Nitrolancea hollandica (species)"
L0JZR0,unreviewed,L0JZR0_9EURY,Halocin C8,Natoc_1531,Natronococcus occultus SP4,241.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natronococcus (genus), Natronococcus occultus (species)"
L5NAY5,unreviewed,L5NAY5_9BACI,Uncharacterized protein,D479_05180,Halobacillus sp. BAB-2008,262.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Halobacillus (genus), unclassified Halobacillus (no rank)"
M0CHT2,unreviewed,M0CHT2_9EURY,Halocin C8,C477_04739,Haloterrigena salina JCM 13891,248.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus), Haloterrigena salina (species)"
M0HYN6,unreviewed,M0HYN6_9EURY,Halocin C8 (TBD),C452_11370,Haloferax alexandrinus JCM 10717,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax alexandrinus (species)"
Q5HNA8,unreviewed,Q5HNA8_STAEQ,Uncharacterized protein,SERP1362,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), Staphylococcus epidermidis (species)"
A0A0K0KFY8,unreviewed,A0A0K0KFY8_9EURY,Halocin C8,proC8,Natrinema sp. SI4,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A0K0KGM5,unreviewed,A0A0K0KGM5_9EURY,Halocin C8,proC8,Natrinema sp. SWI6,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A1G8NNL8,unreviewed,A0A1G8NNL8_9BACI,Halocin C8-like bacteriocin domain-containing protein,SAMN05216352_11296,Alteribacillus bidgolensis,265.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Alteribacillus (genus)"
A0A1H6FZD9,unreviewed,A0A1H6FZD9_9EURY,Halocin C8-like bacteriocin domain-containing protein,SAMN04487967_2229,Natronorubrum sediminis,299.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natronorubrum (genus)"
A0A1H7T849,unreviewed,A0A1H7T849_HALLR,Halocin C8-like bacteriocin domain-containing protein,SAMN04488691_108101,Haloferax larsenii,310.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus)"
A0A1I5UQF1,unreviewed,A0A1I5UQF1_9EURY,Halocin C8-like bacteriocin domain-containing protein,SAMN05216277_11410,Halolamina pelagica,345.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Halorubraceae (family), Halolamina (genus)"
A0A1N5WFV7,unreviewed,A0A1N5WFV7_9ARCH,Predicted metal-binding protein,CSP5_1806,Cuniculiplasma divulgatum,206.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Cuniculiplasmataceae (family), Cuniculiplasma (genus)"
A0A1R4A9B7,unreviewed,A0A1R4A9B7_9ARCH,Predicted metal-binding protein,CPM_1766,Cuniculiplasma divulgatum,229.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Cuniculiplasmataceae (family), Cuniculiplasma (genus)"
A0A1W6ALD3,unreviewed,A0A1W6ALD3_9EURY,Halocin C8,halC8,Haloterrigena turkmenica,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus)"
A0A1W6ALE2,unreviewed,A0A1W6ALE2_9EURY,Halocin C8,halC8,Natrinema versiforme,217.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A233V7Q7,unreviewed,A0A233V7Q7_FINMA,Bacteriocin,B9N49_01850,Finegoldia magna (Peptostreptococcus magnus),234.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Tissierellia (class), Tissierellales (order), Peptoniphilaceae (family), Finegoldia (genus)"
A0A284VIX2,unreviewed,A0A284VIX2_9EURY,Uncharacterized protein,MNV_1070037,Candidatus Methanoperedens nitroreducens,199.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Candidatus Methanoperedenaceae (family), Candidatus Methanoperedens (genus)"
A0A371KIN0,unreviewed,A0A371KIN0_9EURY,Halocin C8 (TBD),C5B88_18490,Haloferax sp. Atlit-24N,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A4P9TIX4,unreviewed,A0A4P9TIX4_9EURY,Halocin C8,FGF80_17370,Natrinema pallidum,133.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A6G2FUG1,unreviewed,A0A6G2FUG1_9EURY,Uncharacterized protein,GJ632_00965,Halogeometricum sp. CBA1124,296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Halogeometricum (genus), unclassified Halogeometricum (no rank)"
A0A7G7CSN9,unreviewed,A0A7G7CSN9_9CORY,Secreted protein,H0194_09335,Corynebacterium incognita,57.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)"
A0A7J3M086,unreviewed,A0A7J3M086_ARCFL,Uncharacterized protein,ENT52_01360,Archaeoglobus fulgidus,155.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus)"
A0A841HCK3,unreviewed,A0A841HCK3_HALSI,Halocin C8-like bacteriocin domain-containing protein,HNR49_001783,Halobacterium salinarum (Halobacterium halobium),242.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus)"
A0A842PTS4,unreviewed,A0A842PTS4_9EURY,Halocin C8 (TBD),E4P24_15600,Haloferax sp. AS1,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A847UEQ4,unreviewed,A0A847UEQ4_9EURY,Halocin C8,GOC74_06510,Halomicrobium mukohataei,169.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus)"
A0A895AGW4,unreviewed,A0A895AGW4_9EURY,Halocin C8,JT689_04715,Halobacterium sp. GSL-19,298.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), unclassified Halobacterium (no rank)"
A0A895AJK3,unreviewed,A0A895AJK3_9EURY,Halocin C8,JRZ79_12310,Halobacterium sp. BOL4-2,296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), unclassified Halobacterium (no rank)"
A0A8T5C7M9,unreviewed,A0A8T5C7M9_HALVO,Halocin C8 (TBD),JK351_16535 JK352_16235 JK353_16240 JK354_16670,Haloferax volcanii (Halobacterium volcanii),305.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus)"
A0A919XDK8,unreviewed,A0A919XDK8_9BACI,Uncharacterized protein,J43TS3_32810,Ornithinibacillus bavariensis,119.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Ornithinibacillus (genus)"
A0AAE4NU05,unreviewed,A0AAE4NU05_9EURY,Halocin C8-like domain-containing protein,RBI02_00705,Thermococcus waiotapuensis,329.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus)"
A0AAF0T0E6,unreviewed,A0AAF0T0E6_9EURY,Halocin C8-like domain-containing protein,NP511_07535,Natrinema thermotolerans,170.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
D2S212,unreviewed,D2S212_HALTV,Halocin C8,Htur_4623,Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus),314.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus), Haloterrigena turkmenica (species)"
I3ZTP7,unreviewed,I3ZTP7_THECF,Uncharacterized protein,CL1_0876,Thermococcus cleftensis (strain DSM 27260 / KACC 17922 / CL1),313.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus)"
I4EKE7,unreviewed,I4EKE7_9BACT,RHS repeat-associated core domain-containing protein,NITHO_4570011,Nitrolancea hollandica Lb,177.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Thermomicrobiota (phylum), Thermomicrobia (class), Sphaerobacterales (order), Sphaerobacterineae (suborder), Sphaerobacteraceae (family), Nitrolancea (genus), Nitrolancea hollandica (species)"
I4EMP9,unreviewed,I4EMP9_9BACT,Uncharacterized protein,NITHO_6320001,Nitrolancea hollandica Lb,91.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Thermomicrobiota (phylum), Thermomicrobia (class), Sphaerobacterales (order), Sphaerobacterineae (suborder), Sphaerobacteraceae (family), Nitrolancea (genus), Nitrolancea hollandica (species)"
I7BHG2,unreviewed,I7BHG2_NATSJ,Halocin C8,NJ7G_4349,Natrinema sp. (strain J7-2),133.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
L9Y9U7,unreviewed,L9Y9U7_NATP1,Halocin C8,C488_18725,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),286.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pellirubrum (species)"
L9ZA08,unreviewed,L9ZA08_9EURY,Halocin C8,C487_01040,Natrinema pallidum DSM 3751,241.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pallidum (species)"
M0FJY7,unreviewed,M0FJY7_9EURY,Halocin C8 (TBD),C459_16551,Haloferax sp. ATCC BAA-645,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
M0H930,unreviewed,M0H930_HALLR,Halocin C8-like bacteriocin domain-containing protein,C455_08492,Haloferax larsenii JCM 13917,296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax larsenii (species)"
O28702,unreviewed,O28702_ARCFU,Uncharacterized protein,AF_1570,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),207.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)"
Q9HHM0,unreviewed,Q9HHM0_HALSA,Vng6329h,VNG_6329H,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),253.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species), Halobacterium salinarum NRC-34001 (strain)"
T0MSV0,unreviewed,T0MSV0_9ARCH,Saposin B-type domain-containing protein,AMDU3_IPLC00005G0021,Thermoplasmatales archaeon I-plasma,215.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), unclassified Thermoplasmatales (no rank)"
T0NDA5,unreviewed,T0NDA5_9ARCH,Saposin B-type domain-containing protein,AMDU4_FER2C00086G0032,Ferroplasma sp. Type II,229.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Ferroplasmaceae (family), Ferroplasma (genus), environmental samples (no rank)"
U1N0A7,unreviewed,U1N0A7_9EURY,Uncharacterized protein,J07HX5_02037,halophilic archaeon J07HX5,90.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), unclassified Halobacteriales (no rank)"
U1PME0,unreviewed,U1PME0_9EURY,Cytosine deaminase related metal-dependent hydrolase,J07HB67_00644,halophilic archaeon J07HB67,346.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), unclassified Halobacteriales (no rank)"
A0A447YVF0,,A0A447YVF0_9STAP,deleted,,,,
R9C692,,R9C692_9BACI,deleted,,,,
