protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,length
PNMZ01000005.1_41,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp013823945,1273
NZ_CP036275.1_3944,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Maioricimonas,Maioricimonas rarisocia,1582
NZ_CP036275.1_3951,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Maioricimonas,Maioricimonas rarisocia,1594
NZ_QMBP01000001.1_587,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium hawassense,2155
SCQE01000062.1_2,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,MYbin3,MYbin3 sp004321915,2514
NZ_BEXT01000001.1_892,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,262
JAFDWU010000002.1_649,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,SZAS-5,SZAS-5 sp018268315,319
CAINFC010000320.1_13,Bacteria,Acidobacteriota,UBA6911,CAINFC01,CAINFC01,CAINFC01,CAINFC01 sp903847975,350
JAJPJR010000016.1_1,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,ATM1,JAJPJR01,JAJPJR01 sp021324165,407
SYMT01000577.1_1,Bacteria,Armatimonadota,SYMT01,SYMT01,SYMT01,SYMT01,SYMT01 sp005805375,417
JAFDWQ010000003.1_463,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEURO01,JAEURO01 sp018268395,437
JAFDKD010000263.1_2,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,Desulfatiglandaceae,JAFDKD01,JAFDKD01 sp019307165,495
NZ_BEXT01000001.1_922,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,508
JAESQE010000281.1_3,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera sp016765335,582
JAHFUY010000003.1_11,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Herbiconiux,Herbiconiux sp023264895,1026
NZ_JACIDE010000003.1_71,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A voinovskiensis,1956
JAJYCW010000101.1_9,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,JAJZFK01,JAJZFK01 sp021777995,257
CAIONQ010000173.1_6,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,264
NZ_BEXT01000001.1_904,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,269
LDYB01000017.1_6,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,GBS-DC,LDYB01,LDYB01 sp001442985,370
JALHMY010000138.1_16,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp022843805,667
NZ_LN812102.1_408,Bacteria,Bacillota,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Risungbinella,Risungbinella massiliensis,140
JADJXS010000001.1_2309,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,Fen-1342,H1-PLA3,H1-PLA3 sp016710275,481
CAIONQ010000005.1_2,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,484
JAFDWU010000003.1_192,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,SZAS-5,SZAS-5 sp018268315,511
JACKHO010000004.1_72,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,JACKHO01,JACKHO01 sp020638955,586
CAIJNL010000030.1_3,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,Fen-1308,Fen-1308 sp903822005,890
JAKLKS010000051.1_5,Bacteria,Planctomycetota,JAJSAM01,JAKLKS01,JAKLKS01,JAKLKS01,JAKLKS01 sp023150535,1415
CAIKMJ010000044.1_21,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,BOG-234,BOG-234 sp903828455,1435
JANWYM010000053.1_11,Bacteria,Armatimonadota,Abditibacteria,Abditibacteriales,JANWYM01,JANWYM01,JANWYM01 sp025055355,85
BDTG01000010.1_133,Bacteria,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14,BMS3ABIN14 sp002897695,112
RXJV01000132.1_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae B,Pelomonas,Pelomonas sp003963075,273
PNMZ01000005.1_48,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp013823945,277
BEHR01000061.1_2,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,GBS-DC,HRBIN15,HRBIN15 sp002898555,303
PQXE01000068.1_5,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,UBA3076,UBA3076,UBA3076 sp003194495,601
NZ_JANUCP010000009.1_4,Bacteria,Armatimonadota,HRBIN17,HRBIN17,HRBIN17,Fervidibacter,Fervidibacter sacchari,871
CAIONQ010000094.1_3,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,391
JAIMBJ010000019.1_20,Bacteria,Armatimonadota,HRBIN16,HRBIN16,HRBIN16,HRBIN16,HRBIN16 sp023511455,952
CAMCWC010000009.1_141,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,Fimbriimonas sp945882415,1240
SLKS01000359.1_2,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,SLMC01,SLMC01,SLMC01 sp007134465,2099
SAQE01000043.1_12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sp004020545,2151
CAIONQ010000041.1_8,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,199
DDSP01000069.1_8,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UBA2387,UBA2387 sp002343445,263
CP054189.1_2077,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Nitrosymbiomonas,Nitrosymbiomonas sp001567425,345
JACOSL010000011.1_20,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JACOSL01,JACOSL01 sp016179045,426
CAIVZM010000050.1_16,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIVZM01,CAIVZM01 sp903910385,724
JAIEPT010000323.1_8,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,JAIEPT01,JAIEPT01 sp019748295,1587
DDWR01000037.1_18,Bacteria,Verrucomicrobiota,Kiritimatiellia,LD1-PB3 B,Lenti-01,Lenti-01,Lenti-01 sp002347655,2130
JAAERX010000019.1_4,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-2729495,GCA-2729495,GCA-2729495,GCA-2729495 sp024229935,3743
DHGT01000161.1_2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfatitalea,Desulfatitalea sp002402905,201
NZ_BEXT01000001.1_3907,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,235
JAEUWB010000023.1_41,Bacteria,Bdellovibrionota,UBA2361,SZUA-149,JAEUWB01,JAEUWB01,JAEUWB01 sp016786595,249
NZ_JHVN01000009.1_3,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A tepidamans A,252
NZ_JANUCP010000010.1_1,Bacteria,Armatimonadota,HRBIN17,HRBIN17,HRBIN17,Fervidibacter,Fervidibacter sacchari,280
LDYB01000012.1_86,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,GBS-DC,LDYB01,LDYB01 sp001442985,292
NZ_JACRSN010000007.1_96,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,Yeguia,Yeguia hominis,496
NZ_BEXT01000001.1_883,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,504
JACQVS010000231.1_11,Bacteria,Planctomycetota,UBA8108,UBA8108,JACQVS01,JACQVS01,JACQVS01 sp016209605,2106
NZ_NNRI01000001.1_64,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sophorae,2152
CAIONQ010000106.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,194
JAABPS010000244.1_3,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,JAABPS01,JAABPS01,JAABPS01 sp011391835,247
CAISOI010000589.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,CAJBBX01,CAISOI01,CAISOI01 sp903886985,293
JAEUIH010000163.1_3,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,344
NZ_SIHI01000001.1_1130,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoglobus,Thalassoglobus neptunius,363
JAEURO010000059.1_6,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEURO01,JAEURO01 sp016788345,424
NZ_CP061800.1_92,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,4be13,Desulfonema C,Desulfonema C magnum,428
CAJYYA010000012.1_147,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Naasia,Naasia sp913778905,431
NZ_LFIJ01000001.1_1643,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Gilvimarinus,Gilvimarinus polysaccharolyticus,438
JAMLGR010000016.1_57,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAMLGR01,JAMLGR01 sp023957775,1249
CAIKMJ010000018.1_44,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,BOG-234,BOG-234 sp903828455,1419
JABMQM010000516.1_3,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA11574,Desulfatibia A,Desulfatibia A sp013203195,1523
NZ_QZXA01000001.1_646,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium jarvisii,2152
JAJYCW010000033.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,JAJZFK01,JAJZFK01 sp021777995,201
JAEUIH010000020.1_82,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,345
CAIJLM010000454.1_8,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIJLM01,CAIJLM01 sp903821495,349
JACOSL010000011.1_16,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JACOSL01,JACOSL01 sp016179045,379
CAMAXD010000087.1_1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,SXXK01,SXXK01 sp945861975,380
JACMIS010000234.1_4,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,JACMIU01,JACMIU01 sp014381035,381
JAEURO010000139.1_8,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEURO01,JAEURO01 sp016788345,395
JABSRP010000058.1_8,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,Pseudobacteriovorax sp013215145,399
NZ_BEXT01000001.1_3899,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,512
JAGQPW010000241.1_1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,JACKHO01,JACKHO01 sp020426515,922
NZ_JACCBB010000001.1_4509,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Kineococcaceae,Kineococcus,Kineococcus aurantiacus,1690
NZ_JACHEF010000001.1_1422,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sangaii,2151
CAISOI010000196.1_4,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,CAJBBX01,CAISOI01,CAISOI01 sp903886985,154
JACIXQ010000048.1_14,Bacteria,JACIXR01,JACIXR01,JACIXR01,JACIXR01,JACIXR01,JACIXR01 sp014360465,163
JABUFA010000006.1_71,Bacteria,Armatimonadota,HRBIN16,HRBIN16,HRBIN16,HRBIN16,HRBIN16 sp013314755,222
JANWYM010000671.1_1,Bacteria,Armatimonadota,Abditibacteria,Abditibacteriales,JANWYM01,JANWYM01,JANWYM01 sp025055355,243
CAIVZM010000050.1_10,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIVZM01,CAIVZM01 sp903910385,260
DYRK01000408.1_2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,DYRK01,DYRK01,DYRK01 sp020718785,262
JAIUNY010000018.1_68,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp020161505,269
CP054189.1_1410,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Nitrosymbiomonas,Nitrosymbiomonas sp001567425,269
JAFAFM010000314.1_1,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,55-13,55-13 sp023423495,298
MHGA01000020.1_11,Bacteria,Omnitrophota,Koll11,Aquiviventales,Aquiviventaceae,Aquivivens,Aquivivens invisus,345
JAHDXO010000012.1_114,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,SKKK01,SKKK01 sp023382975,1094
JAFDWQ010000001.1_289,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEURO01,JAEURO01 sp018268395,1746
NZ_LFIJ01000001.1_1645,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Gilvimarinus,Gilvimarinus polysaccharolyticus,3917
JAABPS010000244.1_4,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,JAABPS01,JAABPS01,JAABPS01 sp011391835,211
CAIYLG010000039.1_33,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,Fimbriimonas sp903927025,248
JAIMBJ010000033.1_21,Bacteria,Armatimonadota,HRBIN16,HRBIN16,HRBIN16,HRBIN16,HRBIN16 sp023511455,249
NZ_JACIDF010000022.1_7,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A rupiensis,249
CAIXIX010000033.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903919615,251
CAIVZM010000023.1_8,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIVZM01,CAIVZM01 sp903910385,258
NZ_JACIDF010000021.1_3,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A rupiensis,275
CAIONQ010000136.1_2,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,311
JAJZOL010000041.1_4,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,CAJBBX01,DTKV01,DTKV01 sp021811565,314
JAEUIH010000163.1_6,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,331
JADZDX010000079.1_8,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAFLBD01,JAFLBD01 sp020850835,390
CP054189.1_2084,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Nitrosymbiomonas,Nitrosymbiomonas sp001567425,489
VRUK01000131.1_4,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,SG8-4,NIOZ-UU13,NIOZ-UU13 sp019456195,1711
NZ_AYVL01000024.1_60,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium sp000502835,2150
JAKBZR010000098.1_9,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,JAMCWF01,JAMCWF01,JAMCWF01 sp021842405,82
JAEUIH010000163.1_1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,138
JAEVZK010000072.1_12,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEVZK01,JAEVZK01 sp023392285,145
JANDLV010000093.1_1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,JANDLV01,JANDLV01 sp024330185,153
JABUFA010000015.1_28,Bacteria,Armatimonadota,HRBIN16,HRBIN16,HRBIN16,HRBIN16,HRBIN16 sp013314755,218
CAIVZM010000050.1_14,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIVZM01,CAIVZM01 sp903910385,254
NZ_JACIDF010000021.1_15,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A rupiensis,325
JAEUIH010000196.1_3,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,344
JABAQM010000001.1_2916,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JABAQM01,JABAQM01 sp019187105,382
NZ_BEXT01000001.1_4904,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,429
OMOG01000510.1_12,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,OMOG01,OMOG01 sp900290305,1347
JAFDFO010000039.1_8,Bacteria,Desulfobacterota,Desulfobacteria,C00003060,C00003060,JAFDFO01,JAFDFO01 sp019309815,2006
JACRBX010000162.1_23,Bacteria,Desulfobacterota,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22 sp016219225,2459
NZ_LVEG02000004.1_62,Bacteria,Pseudomonadota,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,Halofilum ochraceum,2567
JANDLV010000119.1_2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,JANDLV01,JANDLV01 sp024330185,171
NZ_BEXT01000001.1_919,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,233
JACNHV010000267.1_64,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula maris,251
CAJBBX010000088.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,CAJBBX01,CAJBBX01,CAJBBX01 sp903951425,300
CAIONQ010000114.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,305
CAIONQ010000176.1_55,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,315
CAIONQ010000043.1_20,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,315
JAEVZK010000044.1_17,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAEVZK01,JAEVZK01 sp023392285,382
NZ_JHVN01000001.1_341,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus A,Anoxybacillus A tepidamans A,415
JAEUIH010000181.1_2,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp016795105,524
PLAD01000335.1_5,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Capsulimonadaceae,BOG-944,BOG-944 sp003134215,623
NZ_JACIEH010000002.1_769,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas kyeonggiensis,1201
JAIUNY010000001.1_306,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp020161505,1291
JAFDHO010000040.1_28,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,HGW-15,JAFDHO01,JAFDHO01 sp019308745,2019
CAIVZM010000050.1_12,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIVZM01,CAIVZM01 sp903910385,256
JAEUII010000367.1_3,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,SXXK01,SXXK01 sp016795145,364
JAIUNY010000028.1_24,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp020161505,1325
NZ_QRDZ01000035.1_28,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella phaseoli,2588
DYRK01000852.1_3,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,DYRK01,DYRK01,DYRK01 sp020718785,219
JAIUNY010000003.1_247,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,UphvI-Ar2 sp020161505,318
JAGQQE010000387.1_1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,F1-80-MAGs062,F1-80-MAGs062 sp020426345,325
CAIYOB010000391.1_1,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Anammoximicrobium,Anammoximicrobium sp903927685,344
JAKBZR010000005.1_21,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,JAMCWF01,JAMCWF01,JAMCWF01 sp021842405,353
NZ_JANUCP010000002.1_298,Bacteria,Armatimonadota,HRBIN17,HRBIN17,HRBIN17,Fervidibacter,Fervidibacter sacchari,370
NZ_CP036267.1_698,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoglobus,Thalassoglobus polymorphus,579
JAFGFW010000095.1_57,Bacteria,Desulfobacterota,Desulfobacteria,C00003060,C00003060,JAFGFW01,JAFGFW01 sp016930875,680
NZ_CP036275.1_3949,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Maioricimonas,Maioricimonas rarisocia,682
JAGQPW010000221.1_5,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,JACKHO01,JACKHO01 sp020426515,770
CAIYOB010000596.1_1,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Anammoximicrobium,Anammoximicrobium sp903927685,772
DRPZ01000092.1_1,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,Oceanithermus,Oceanithermus profundus A,926
JACOSL010000011.1_14,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JACOSL01,JACOSL01 sp016179045,1232
JACQWQ010000095.1_17,Bacteria,Chloroflexota,Anaerolineae,UBA4142,SHND01,SHND01,SHND01 sp016209205,1437
NC_008554.1_4115,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter fumaroxidans,1763
JAIPEJ010000031.1_1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosalsimonadaceae,Desulfosalsimonas,Desulfosalsimonas sp021737225,2073
JAHFDS010000007.1_49,Bacteria,Myxococcota,Polyangia,JAHFDS01,JAHFDS01,JAHFDS01,JAHFDS01 sp023248855,2296
JACNHV010000267.1_60,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula maris,2406
NZ_BEXT01000001.1_908,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,232
CAIONQ010000038.1_1,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,CAIXIX01,CAIXIX01 sp903859705,314
JAABPS010000244.1_1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,JAABPS01,JAABPS01,JAABPS01 sp011391835,329
JACOSL010000025.1_1,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JACOSL01,JACOSL01 sp016179045,375
CP054189.1_2079,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Nitrosymbiomonas,Nitrosymbiomonas sp001567425,391
NZ_BEXT01000001.1_910,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfonema B,Desulfonema B ishimotonii,475
JACRBX010000162.1_25,Bacteria,Desulfobacterota,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22,RBG-13-43-22 sp016219225,498
JAHDXO010000012.1_120,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,SKKK01,SKKK01 sp023382975,575
DYRK01000604.1_4,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,DYRK01,DYRK01,DYRK01 sp020718785,602
DMPQ01000429.1_1,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,UBA11682,UBA11682 sp003455945,1038
DDTO01000001.1_181,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UBA6659,UBA6659 sp002344135,1231
JAGHDS010000461.1_3,Bacteria,Chloroflexota,Anaerolineae,DUEN01,DUEN01,JAGHDS01,JAGHDS01 sp021159845,1411
JACPGM010000017.1_5,Bacteria,Verrucomicrobiota,Kiritimatiellia,JAAZAB01,VSJD01,VSJD01,VSJD01 sp016188985,2050
QYLO01000060.1_11,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Electrothrix,Electrothrix sp022766165,2130
