query,target,evalue,bits,tstart,tend,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,sboA,albA,albC,contig_id
NP_391619.1,DBML01000005.1_36,2.913e-92,311,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,UBA699,UBA699 sp002298915,False,False,True,DBML01000005.1
NP_391619.1,DBRH01000015.1_7,1.9470000000000003e-26,120,18,240,Bacteria,Thermotogota,Thermotogae,Petrotogales,Kosmotogaceae,Mesotoga,Mesotoga sp002305955,False,False,True,DBRH01000015.1
WP_088863145.1,DBRR01000017.1_59,2.184e-74,269,32,422,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002306055,False,True,False,DBRR01000017.1
WP_088863145.1,DBRR01000047.1_15,1.046e-24,121,19,200,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002306055,False,True,False,DBRR01000047.1
WP_157895742.1,DBTI01000198.1_16,1.327e-72,254,1,217,Bacteria,Bacillota A,Clostridia,Oscillospirales,Ethanoligenenaceae,Ruminiclostridium D,Ruminiclostridium D sp002306975,False,False,True,DBTI01000198.1
WP_157895742.1,DBTU01000012.1_40,4.97e-79,272,1,225,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Mobilitalea,Mobilitalea sp002307215,False,False,True,DBTU01000012.1
NP_391619.1,DBTX01000063.1_16,2.913e-92,311,1,238,Bacteria,Bacillota A,Clostridia,Acetivibrionales,DTU013,UBA1305,UBA1305 sp002307275,False,False,True,DBTX01000063.1
NP_391619.1,DBWH01000008.1_18,1.622e-27,123,18,209,Bacteria,Bacillota A,Clostridia,UBA1212,UBA1212,UBA1212,UBA1212 sp002308595,False,False,True,DBWH01000008.1
NP_391619.1,DBXL01000033.1_14,5.816e-83,284,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp002309275,False,False,True,DBXL01000033.1
NP_391619.1,DCGU01000046.1_6,2.642e-91,308,1,232,Bacteria,Bacillota A,Clostridia,Oscillospirales,CAG-272,UBA1770,UBA1770 sp002315325,False,False,True,DCGU01000046.1
NP_391619.1,DCHW01000021.1_17,1.427e-26,121,17,218,Bacteria,Bacillota A,Clostridia,TANB77,CAG-508,CAG-452,CAG-452 sp002314935,False,False,True,DCHW01000021.1
WP_157895742.1,DCJK01000021.1_77,7.07e-73,254,1,227,Bacteria,Bacillota A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Fimisoma,Fimisoma sp002320005,False,False,True,DCJK01000021.1
NP_391619.1,DCTF01000130.1_7,1.912e-17,94,31,160,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1447,UBA1447 sp002329225,False,False,True,DCTF01000130.1
NP_391619.1,DCTT01000009.1_34,5.6209999999999996e-27,122,1,238,Bacteria,Bacillota A,Clostridia,Eubacteriales,UBA1433,UBA1433,UBA1433 sp002329295,False,False,True,DCTT01000009.1
WP_042691587.1,DCUZ01000043.1_49,1.008e-15,93,19,185,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA2201,UBA2201,UBA2201,UBA2201 sp002327305,False,True,False,DCUZ01000043.1
WP_088863145.1,DCUZ01000061.1_5,6.413e-68,250,27,427,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA2201,UBA2201,UBA2201,UBA2201 sp002327305,False,True,False,DCUZ01000061.1
WP_088863145.1,DCVK01000029.1_11,1.466e-28,133,18,344,Bacteria,Acidobacteriota,Aminicenantia,UBA2199,UBA2199,UBA2199,UBA2199 sp002335385,False,True,False,DCVK01000029.1
WP_157895742.1,DCVQ01000005.1_7,8.617e-75,260,1,230,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,UBA2184,UBA2184 sp002328745,False,False,True,DCVQ01000005.1
WP_157895742.1,DDEN01000056.1_181,2.269e-35,146,1,215,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter sp002336115,False,False,True,DDEN01000056.1
WP_157895742.1,DDFJ01000001.1_304,3.102e-35,145,1,215,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter sp002337125,False,False,True,DDFJ01000001.1
WP_157895742.1,DDFK01000001.1_349,2.999e-32,137,5,207,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1930,UBA1930 sp002337145,False,False,True,DDFK01000001.1
NP_391617.1,DDKR01000075.1_12,5.686e-18,100,17,190,Bacteria,Omnitrophota,Koll11,GIF10,UBA2593,UBA2593,UBA2593 sp002340085,False,True,False,DDKR01000075.1
WP_088863145.1,DDSH01000023.1_49,1.087e-71,261,44,433,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,OLB14,OLB14 sp002343775,False,True,False,DDSH01000023.1
NP_391617.1,DDUX01000147.1_4,1.3070000000000001e-20,108,112,264,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,Accumulibacter iunctus,False,True,False,DDUX01000147.1
WP_088863145.1,DDWR01000020.1_86,2.118e-27,129,37,220,Bacteria,Verrucomicrobiota,Kiritimatiellia,LD1-PB3 B,Lenti-01,Lenti-01,Lenti-01 sp002347655,False,True,False,DDWR01000020.1
WP_157895742.1,DDWT01000033.1_19,1.05e-76,265,4,231,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,UBA2279,UBA2279 sp002347365,False,False,True,DDWT01000033.1
WP_088863145.1,DDWY01000093.1_24,9.072999999999999e-73,264,116,422,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002347705,False,True,False,DDWY01000093.1
WP_157895742.1,DDXA01000001.1_257,3.036e-74,258,1,230,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,UBA2272,UBA2272 sp002347725,False,False,True,DDXA01000001.1
WP_051482183.1,DDXA01000004.1_869,3.474e-36,148,4,205,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,UBA2272,UBA2272 sp002347725,False,False,True,DDXA01000004.1
WP_042691587.1,DDXR01000076.1_22,8.326999999999999e-66,244,133,437,Bacteria,Edwardsbacteria,AC1,AC1,UBA2255,UBA2255,UBA2255 sp002347565,False,True,False,DDXR01000076.1
WP_157895742.1,DDXW01000028.1_4,8.617e-75,260,1,230,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,UBA2250,UBA2250 sp002347285,False,False,True,DDXW01000028.1
WP_157895742.1,DDYT01000062.1_45,7.923e-35,144,2,202,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA2227,UBA2227 sp002348095,False,False,True,DDYT01000062.1
NP_391619.1,DEFH01000063.1_7,2.049e-82,282,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp002350705,False,False,True,DEFH01000063.1
NP_391617.1,DEFK01000004.1_42,7.572e-17,96,12,138,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus E,Ruminococcus E sp002350765,False,True,False,DEFK01000004.1
NP_391616.1,DEPD01000020.1_10,6.241e-09,60,5,45,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,COE1 sp002358575,True,False,False,DEPD01000020.1
NP_391617.1,DEPD01000020.1_11,2.53e-86,304,34,441,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,COE1 sp002358575,False,True,False,DEPD01000020.1
WP_157895742.1,DFBG01000021.1_12,4.232e-71,249,4,230,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA3086,UBA3086,UBA3086 sp002367305,False,False,True,DFBG01000021.1
NP_391617.1,DFBG01000066.1_2,8.878e-24,118,115,424,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA3086,UBA3086,UBA3086 sp002367305,False,True,False,DFBG01000066.1
NP_391619.1,DFIS01000021.1_59,9.195e-26,118,16,210,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp002372175,False,False,True,DFIS01000021.1
WP_088863145.1,DFYN01000100.1_17,6.549e-49,194,133,286,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4081,UBA4081 sp002383615,False,True,False,DFYN01000100.1
NP_391619.1,DGDR01000206.1_4,6.03e-93,313,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium AU,Clostridium AU sp002385545,False,False,True,DGDR01000206.1
NP_391619.1,DGDU01000013.1_26,4.101e-32,137,19,216,Bacteria,Bacillota A,Clostridia,Christensenellales,DTU072,Firm-09,Firm-09 sp002385605,False,False,True,DGDU01000013.1
NP_391619.1,DGDX01000003.1_17,1.027e-91,309,1,238,Bacteria,Bacillota A,Clostridia,Caldicoprobacterales,UBA3941,UBA3941,UBA3941 sp002385665,False,False,True,DGDX01000003.1
NP_391619.1,DGEE01000129.1_2,4.96e-91,307,1,238,Bacteria,Bacillota A,Clostridia,Acetivibrionales,DTU013,DTU013,DTU013 sp002385815,False,False,True,DGEE01000129.1
NP_391619.1,DGEI01000025.1_34,6.162e-90,304,1,238,Bacteria,Bacillota A,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,DTU074,DTU074 sp002385885,False,False,True,DGEI01000025.1
WP_088863145.1,DGEO01000043.1_13,5.383e-17,97,136,320,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA3924,UBA3924 sp002385985,False,True,False,DGEO01000043.1
NP_391619.1,DGFC01000014.1_10,3.427e-28,125,22,224,Bacteria,Bacillota G,Limnochordia,DTU010,DTU010,UBA3910,UBA3910 sp002391465,False,False,True,DGFC01000014.1
NP_391619.1,DGFG01000038.1_15,2.0100000000000002e-85,291,1,241,Bacteria,Bacillota A,Clostridia,Caldicoprobacterales,DTU083,UBA3906,UBA3906 sp002391555,False,False,True,DGFG01000038.1
NP_391619.1,DHBZ01000035.1_3,4.96e-91,307,1,238,Bacteria,Bacillota A,Clostridia,Caldicoprobacterales,DTU083,UBA4874,UBA4874 sp002398065,False,False,True,DHBZ01000035.1
WP_042691587.1,DHCY01000016.1_70,4.727e-71,259,120,426,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002399085,False,True,False,DHCY01000016.1
NP_391619.1,DHDO01000106.1_67,2.126e-92,311,1,238,Bacteria,Bacillota A,Clostridia,Caldicoprobacterales,DTU083,UBA4874,UBA4874 sp002399435,False,False,True,DHDO01000106.1
NP_391619.1,DHEX01000152.1_2,3.6969999999999996e-88,299,1,240,Bacteria,Bacillota A,Clostridia,Clostridiales,Caloramatoraceae,UBA4839,UBA4839 sp002400085,False,False,True,DHEX01000152.1
WP_088863145.1,DHFN01000133.1_9,5.373e-69,253,47,436,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,UBA4823,UBA4823 sp002402275,False,True,False,DHFN01000133.1
NP_391617.1,DHFP01000096.1_4,4.926e-54,209,101,436,Bacteria,Bacillota A,Clostridia,UBA4821,UBA4821,UBA4821,UBA4821 sp002402315,False,True,False,DHFP01000096.1
WP_088863145.1,DHFQ01000170.1_28,1.475e-64,240,125,443,Bacteria,Acidobacteriota,UBA4820,UBA4820,UBA4820,UBA4820,UBA4820 sp002402325,False,True,False,DHFQ01000170.1
NP_391617.1,DHHC01000012.1_16,6.622e-24,119,20,205,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4782,UBA4782 sp002403095,False,True,False,DHHC01000012.1
WP_088863145.1,DHHC01000048.1_25,7.454e-125,416,35,451,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4782,UBA4782 sp002403095,False,True,False,DHHC01000048.1
WP_088863145.1,DHHE01000074.1_6,1.69e-18,102,5,181,Bacteria,Edwardsbacteria,AC1,AC1,UBA8901,UBA8901,UBA8901 sp002403115,False,True,False,DHHE01000074.1
NP_391619.1,DHIM01000187.1_5,2.344e-93,314,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium AD,Clostridium AD sp002403785,False,False,True,DHIM01000187.1
WP_042691587.1,DHNY01000007.1_9,5.74e-18,100,124,291,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002409625,False,True,False,DHNY01000007.1
WP_088863145.1,DHPK01000032.1_123,8.362e-70,256,129,437,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea sp002407845,False,True,False,DHPK01000032.1
WP_088863145.1,DHPL01000042.1_46,1.774e-70,258,126,432,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002407905,False,True,False,DHPL01000042.1
WP_088863145.1,DHRN01000054.1_58,1.921e-73,266,120,426,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002411175,False,True,False,DHRN01000054.1
NP_391617.1,DHSB01000105.1_73,2.807e-11,79,17,112,Bacteria,Myxococcota,Myxococcia,Myxococcales,UBA5297,UBA10939,UBA10939 sp002408385,False,True,False,DHSB01000105.1
WP_088863145.1,DHUW01000036.1_9,9.335e-20,106,126,310,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002409365,False,True,False,DHUW01000036.1
WP_088863145.1,DHVJ01000010.1_8,1.0419999999999999e-66,246,122,428,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea,Pelolinea sp002412595,False,True,False,DHVJ01000010.1
WP_042691587.1,DHVR01000061.1_61,4.939e-69,254,135,441,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5203,UBA5203 sp002412765,False,True,False,DHVR01000061.1
WP_088863145.1,DHVS01000037.1_35,2.228e-19,104,121,383,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA5202,UBA5202 sp002412795,False,True,False,DHVS01000037.1
WP_051482183.1,DHWF01000023.1_53,1.481e-34,143,12,209,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,UBA5189,UBA5189 sp002413045,False,False,True,DHWF01000023.1
WP_088863145.1,DICP01000072.1_1,1.0479999999999999e-51,202,123,289,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,49-20,49-20 sp002417685,False,True,False,DICP01000072.1
WP_088863145.1,DIDP01000018.1_5,6.650999999999999e-73,265,44,438,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,UBA12294 sp002418205,False,True,False,DIDP01000018.1
WP_042691587.1,DIDQ01000142.1_28,5.601e-15,91,30,214,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA5796,UBA5796 sp002418215,False,True,False,DIDQ01000142.1
WP_157895742.1,DIGJ01000002.1_63,2.007e-73,256,1,217,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Velocimicrobium,Velocimicrobium sp002419585,False,False,True,DIGJ01000002.1
WP_088863145.1,DIHE01000034.1_15,2.9750000000000002e-58,222,17,279,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,UBA5704,UBA5704 sp002420005,False,True,False,DIHE01000034.1
NP_391619.1,DINW01000002.1_15,1.748e-90,306,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium X,Clostridium X sp002423705,False,False,True,DINW01000002.1
NP_391619.1,DINW01000054.1_36,4.9420000000000007e-26,119,18,211,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium X,Clostridium X sp002423705,False,False,True,DINW01000054.1
NP_391619.1,DIPA01000098.1_5,5.349e-95,319,1,240,Bacteria,Bacillota H,UBA994,UBA5500,UBA5500,UBA5500,UBA5500 sp002427055,False,False,True,DIPA01000098.1
NP_391619.1,DIQC01000059.1_36,5.066e-88,299,1,238,Bacteria,Bacillota B,DSM-12270,Thermacetogeniales,Thermacetogeniaceae,Syntrophaceticus,Syntrophaceticus sp002426495,False,False,True,DIQC01000059.1
NP_391619.1,DIQT01000002.1_30,3.773e-85,290,1,243,Bacteria,Bacillota,Bacilli,RFN20,CAG-826,UBA5455,UBA5455 sp002427365,False,False,True,DIQT01000002.1
NP_391619.1,DIRE01000027.1_22,4.633e-100,333,1,242,Bacteria,Bacillota A,Clostridia,Clostridiales,Oxobacteraceae,UBA5444,UBA5444 sp002426575,False,False,True,DIRE01000027.1
NP_391619.1,DIRN01000002.1_8,1.045e-31,136,19,224,Bacteria,Bacillota G,UBA5435,UBA5435,UBA5435,UBA5435,UBA5435 sp002426645,False,False,True,DIRN01000002.1
WP_157895742.1,DIUU01000009.1_11,1.8590000000000003e-36,149,1,204,Bacteria,Bacillota,Bacilli,Acholeplasmatales,UBA5453,Paracholeplasma,Paracholeplasma sp002423145,False,False,True,DIUU01000009.1
WP_088863145.1,DIVL01000044.1_16,7.566e-74,267,32,426,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002435825,False,True,False,DIVL01000044.1
WP_051482183.1,DIVN01000245.1_11,3.102e-35,145,5,203,Bacteria,Chloroflexota,Anaerolineae,UBA2200,UBA2200,UBA6131,UBA6131 sp002435875,False,False,True,DIVN01000245.1
NP_391619.1,DIVV01000206.1_11,1.289e-71,251,1,216,Bacteria,Wallbacteria,UBA9980,UBA9980,UBA9980,UBA9980,UBA9980 sp002423385,False,False,True,DIVV01000206.1
WP_157895742.1,DIWE01000036.1_48,3.102e-35,145,1,204,Bacteria,Bacillota A,Clostridia,Oscillospirales,Butyricicoccaceae,UBA6114,UBA6114 sp002423435,False,False,True,DIWE01000036.1
NP_391619.1,DIWI01000086.1_18,3.6969999999999996e-88,299,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Youngiibacter,Youngiibacter sp002428415,False,False,True,DIWI01000086.1
WP_088863145.1,DIWN01000054.1_34,3.387e-75,271,32,422,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002423495,False,True,False,DIWN01000054.1
WP_157895742.1,DIWS01000013.1_45,2.007e-73,256,1,230,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,UBA6100,UBA6100 sp002423585,False,False,True,DIWS01000013.1
NP_391619.1,DIWY01000004.1_638,3.8e-24,113,2,211,Bacteria,Bacillota A,Clostridia,Christensenellales,UBA6094,UBA6094,UBA6094 sp002435915,False,False,True,DIWY01000004.1
WP_088863145.1,DIXG01000009.1_17,4.876e-73,265,128,434,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum,Brevefilum sp002436005,False,True,False,DIXG01000009.1
NP_391619.1,DIXH01000028.1_24,2.6979999999999997e-88,299,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Youngiibacter,Youngiibacter sp002428605,False,False,True,DIXH01000028.1
NP_391617.1,DIXM01000002.1_90,6.576e-58,221,21,333,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,UBA6080,UBA6080 sp002436025,False,True,False,DIXM01000002.1
WP_088863145.1,DIXT01000020.1_190,4.876e-73,265,125,431,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,49-20,49-20 sp002436085,False,True,False,DIXT01000020.1
WP_088863145.1,DIXU01000001.1_232,3.3159999999999996e-29,135,37,363,Bacteria,Acidobacteriota,Aminicenantia,UBA2199,UBA2199,UBA2199,UBA2199 sp002436105,False,True,False,DIXU01000001.1
WP_088863145.1,DJGU01000023.1_9,1.4079999999999999e-73,267,116,422,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp002432795,False,True,False,DJGU01000023.1
WP_051482183.1,DJIF01000084.1_89,2.5979999999999998e-39,157,9,233,Bacteria,Myxococcota,UBA796,UBA9615,UBA9615,UBA6601,UBA6601 sp002433485,False,False,True,DJIF01000084.1
WP_157895742.1,DJJW01000084.1_9,6.291999999999999e-33,139,1,204,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sp002434335,False,False,True,DJJW01000084.1
NP_391617.1,DJOV01000117.1_10,5.301e-28,131,98,372,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002437285,False,True,False,DJOV01000117.1
NP_391617.1,DJVJ01000008.1_55,5.35e-77,277,9,346,Bacteria,Bacillota,Bacilli,Tepidibacillales,Tepidibacillaceae,UBA6259,UBA6259 sp002441135,False,True,False,DJVJ01000008.1
WP_157895742.1,DJWH01000011.1_11,1.8999999999999998e-39,158,1,204,Bacteria,Bacillota,Bacilli,Acholeplasmatales,UBA5453,Paracholeplasma,Paracholeplasma sp002441525,False,False,True,DJWH01000011.1
NP_391619.1,DJWQ01000233.1_8,5.3e-29,128,1,207,Bacteria,Bacillota A,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Fusibacter C,Fusibacter C sp002441045,False,False,True,DJWQ01000233.1
NP_391619.1,DJXM01000052.1_2,2.522e-21,105,18,204,Bacteria,Bacillota,Bacilli,Acholeplasmatales,Anaeroplasmataceae,Anaeroplasma,Anaeroplasma sp002449755,False,False,True,DJXM01000052.1
WP_157895742.1,DKEX01000063.1_10,2.446e-75,261,1,230,Bacteria,Bacillota G,SHA-98,UBA4971,UBA4971,UBA6256,UBA6256 sp002452295,False,False,True,DKEX01000063.1
NP_391619.1,DKEX01000114.1_20,3.5409999999999996e-94,316,5,246,Bacteria,Bacillota G,SHA-98,UBA4971,UBA4971,UBA6256,UBA6256 sp002452295,False,False,True,DKEX01000114.1
WP_088863145.1,DKFH01000096.1_1,3.013e-18,101,137,321,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum,Brevefilum sp002452315,False,True,False,DKFH01000096.1
NP_391619.1,DKRJ01000008.1_55,3.218e-30,131,1,205,Bacteria,Bacillota A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium B,Eubacterium B sp002472145,False,False,True,DKRJ01000008.1
WP_088863145.1,DKTP01000049.1_3,3.387e-75,271,29,432,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA7227,UBA7227 sp002473085,False,True,False,DKTP01000049.1
NP_391617.1,DLCS01000268.1_34,2.874e-77,278,11,366,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Robertmurraya,Robertmurraya sp002480735,False,True,False,DLCS01000268.1
NP_391619.1,DLGA01000003.1_221,1.648e-61,222,1,198,Bacteria,Bacillota,Bacilli,RFN20,CAG-826,UBA7706,UBA7706 sp002482465,False,False,True,DLGA01000003.1
WP_157895742.1,DLGX01000068.1_2,2.024e-34,143,10,211,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA7683,UBA7683,UBA7683 sp002482925,False,False,True,DLGX01000068.1
WP_157895742.1,DLHM01000005.1_666,4.097e-32,136,1,215,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter sp002483205,False,False,True,DLHM01000005.1
NP_391619.1,DLKT01000008.1_89,4.622e-33,139,1,241,Bacteria,Bacillota,Bacilli,RFN20,CAG-826,CAG-826,CAG-826 sp002477825,False,False,True,DLKT01000008.1
NP_391619.1,DLLD01000001.1_71,5.703e-86,293,1,238,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-917,CAG-475,CAG-475 sp002476605,False,False,True,DLLD01000001.1
WP_157895742.1,DLMY01000020.1_56,4.097e-32,136,5,243,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA912,UBA7524,UBA7524 sp002478275,False,False,True,DLMY01000020.1
WP_088863145.1,DLXG01000047.1_4,7.566e-74,267,141,441,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,Bellilinea sp003448875,False,True,False,DLXG01000047.1
WP_088863145.1,DMCS01000105.1_1,1.0319999999999999e-73,267,87,393,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,49-20,49-20 sp003445715,False,True,False,DMCS01000105.1
WP_157895742.1,DMFQ01000032.1_12,1.5379999999999998e-29,129,7,221,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,UBA11361,UBA11361 sp003450555,False,False,True,DMFQ01000032.1
NP_391619.1,DMYC01000364.1_2,2.578e-15,87,23,132,Bacteria,Bacillota A,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Fusibacter C,Fusibacter C sp003482695,False,False,True,DMYC01000364.1
WP_088863145.1,DNOU01000214.1_5,3.198e-77,277,147,453,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6107,UBA6107 sp003501835,False,True,False,DNOU01000214.1
WP_157895742.1,DODG01000346.1_3,1.2690000000000001e-30,132,5,222,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA823,UBA8106,UBA8106 sp003509065,False,False,True,DODG01000346.1
WP_088863145.1,DOEX01000167.1_7,1.174e-74,270,120,426,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,T78,T78 sp003532515,False,True,False,DOEX01000167.1
NP_391619.1,DOHN01000112.1_6,6.796e-91,307,1,237,Bacteria,Bacillota A,Clostridia,Acetivibrionales A,DSM-8532,DTU059,DTU059 sp003535195,False,False,True,DOHN01000112.1
NP_391619.1,DOKQ01000123.1_5,4.9420000000000007e-26,119,18,211,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA2227,UBA2227 sp003510215,False,False,True,DOKQ01000123.1
NP_391617.1,DOMT01000081.1_1,1.289e-27,130,84,402,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,UBA8131,UBA8131,UBA8131 sp003509825,False,True,False,DOMT01000081.1
WP_088863145.1,DOTA01000535.1_1,1.42e-66,246,54,392,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,UBA11858,UBA11858 sp003513015,False,True,False,DOTA01000535.1
WP_157895742.1,DOYO01000053.1_4,3.369e-33,139,2,202,Bacteria,Bacillota,Bacilli,Acholeplasmatales,Acholeplasmataceae,UBA2284,UBA2284 sp003518475,False,False,True,DOYO01000053.1
NP_391619.1,DPGH01000010.1_93,9.195e-26,118,17,207,Bacteria,Bacillota A,Clostridia,Christensenellales,Borkfalkiaceae,UBA1259,UBA1259 sp003523255,False,False,True,DPGH01000010.1
NP_391617.1,DPJH01000035.1_14,5.682e-17,97,13,170,Bacteria,Patescibacteria,Paceibacteria,Moranbacterales,UBA2206,UBA8518,UBA8518 sp003543115,False,True,False,DPJH01000035.1
WP_051482183.1,DPMS01000105.1_6,2.194e-32,137,1,205,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,UBA9676,UBA9676 sp003541285,False,False,True,DPMS01000105.1
NP_391619.1,DPQS01000029.1_57,3.635e-31,134,512,733,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-314,Fimimonas,Fimimonas sp003537755,False,False,True,DPQS01000029.1
NP_391619.1,DPSW01000271.1_2,4.718e-50,189,5,137,Bacteria,Bacillota A,Clostridia,Lutisporales,Lutisporaceae,UBA7994,UBA7994 sp003527145,False,False,True,DPSW01000271.1
